Mortgage,Balance,Amount Past Due,Delinquency,Inquiry,Open Trade,Utilization,Gender,Race,Status
198283.02,1547.67,0.0,2,1,5,0.62179,1,0,1
117600.95,10228.48,49.02,0,0,7,0.118399,1,0,0
225027.07,6827.53,194.91,0,1,7,0.239614,0,1,1
236433.88,1434.55,0.0,0,1,13,0.325605,1,1,0
62937.89,1272.61,0.0,2,1,14,0.311663,0,0,1
101869.23,239.47,0.0,3,0,12,0.338116,0,1,1
187670.42,3297.65,0.0,0,2,9,0.19762,0,0,0
161025.44,7052.77,80.85,0,1,1,0.265456,0,0,0
178991.93,1317.19,0.0,0,0,13,0.196301,1,0,0
128817.36,3160.0,0.0,1,3,2,0.640278,0,0,1
232763.88,41.82,0.0,0,1,2,0.300515,1,0,1
226667.52,14774.99,0.0,0,4,1,0.143115,0,1,1
183961.84,212.36,0.0,0,4,14,0.293218,1,0,1
247634.47,3023.75,0.0,0,2,7,0.113016,1,0,0
208050.56,109.0,0.0,1,1,3,0.39951,0,0,0
128442.45,687.36,0.0,0,1,1,0.326775,0,0,0
202125.05,802.17,158.64,0,0,6,0.367131,1,0,1
122467.04,2116.75,0.0,0,0,10,0.138629,0,1,1
232707.02,133.18,271.3,0,1,14,0.207476,0,0,0
177004.45,899.1,0.0,0,0,8,0.243797,1,0,0
168908.26,484.96,0.0,0,2,9,0.12908,0,0,0
139144.23,242.95,0.0,1,0,12,0.244015,0,0,0
253352.48,3368.62,0.0,0,0,13,0.099568,0,1,0
170728.23,962.11,0.0,0,0,4,0.310997,0,1,0
154300.33,196.06,0.0,0,0,14,0.427067,0,0,0
158871.99,1146.13,0.0,0,0,7,0.040675,0,0,0
211938.55,391.81,0.0,0,0,13,0.304255,0,0,0
201926.64,2.21,0.0,0,2,1,0.098498,0,0,0
204763.96,220.1,0.0,0,0,1,0.445854,0,0,0
205849.26,2390.3,0.0,0,0,13,0.065203,1,0,0
308498.86,3.47,740.11,0,0,10,0.248049,1,1,1
155615.1,954.56,0.0,0,0,2,0.415544,0,0,0
149265.44,1400.9,0.0,0,0,13,0.29542,0,0,0
131173.64,597.15,0.0,1,1,1,0.205208,1,0,1
216958.77,1609.73,0.0,0,1,10,0.087448,0,1,0
247738.34,3654.8,0.0,0,0,3,0.248082,0,0,0
173163.15,1251.83,0.0,2,1,1,0.329161,1,0,1
129590.61,1174.61,0.0,0,0,12,0.779689,0,1,0
130531.13,303.3,0.0,0,0,12,0.469595,1,0,0
219035.57,1263.37,0.0,0,2,1,0.222538,1,1,0
224595.25,4638.3,0.0,0,0,1,0.533491,1,0,0
212589.26,1166.07,0.0,0,2,9,0.221672,0,0,0
140069.42,1457.97,0.0,0,0,0,0.315031,0,1,0
193929.68,5752.9,0.0,0,0,11,0.563545,0,0,0
187001.15,799.28,0.0,0,0,13,0.140141,1,0,0
193121.32,90.2,0.0,0,0,11,0.193236,1,0,0
232285.73,4201.98,0.0,0,5,3,0.360856,1,1,1
193415.73,1382.25,14.01,0,0,2,0.535577,0,1,0
220734.81,285.84,0.0,0,2,10,0.328988,1,0,0
184054.74,175.51,0.0,2,2,0,0.510987,0,1,1
197347.16,1335.88,0.0,0,1,8,0.631838,1,0,0
217877.29,3139.06,0.0,0,0,6,0.632782,0,0,0
92570.65,62.08,0.0,0,0,11,0.357971,0,0,0
160819.73,145.62,0.0,0,0,3,0.351714,0,0,0
151777.64,223.29,0.0,0,1,11,0.511619,1,1,0
141667.33,339.89,0.0,0,0,10,0.12121,0,0,0
163491.46,1995.04,273.15,0,3,3,0.165962,0,0,1
269696.48,112.99,0.0,0,1,5,0.224225,0,0,0
128050.13,3816.17,0.0,0,0,0,0.34743,0,1,0
238096.7,5037.01,0.0,0,1,6,0.171014,1,1,1
79027.81,9993.0,345.26,0,0,3,0.467387,0,0,0
159906.9,19.59,0.0,0,2,1,0.244582,0,0,0
189765.18,432.93,0.0,0,0,8,0.154738,1,0,0
215173.34,1468.46,0.0,0,4,8,0.118478,0,0,0
222673.59,139.81,0.0,0,2,1,0.479773,0,1,0
227600.83,8228.83,109.58,0,2,2,0.204594,0,0,0
159076.5,6712.29,0.0,0,0,1,0.269861,0,0,0
152258.89,1367.41,0.0,0,2,10,0.073756,0,0,0
231478.55,3995.74,0.0,2,0,5,0.224552,0,0,1
168521.74,4144.41,0.0,0,1,1,0.104775,0,1,0
103458.82,1510.27,0.0,0,0,2,0.402348,1,0,0
112002.77,977.54,0.0,0,0,14,0.19165,1,0,0
124832.86,4013.6,0.0,3,0,3,0.345586,1,0,1
209829.64,1196.98,0.0,0,0,10,0.037642,0,1,0
188545.54,4965.34,0.0,0,0,7,0.420579,0,1,0
221429.12,2021.95,0.0,3,2,2,0.233205,1,0,1
154364.84,1369.12,0.0,0,0,4,0.130466,1,0,0
189512.38,1000.01,0.0,3,1,0,0.698101,0,0,1
217535.42,684.93,0.0,0,0,11,0.234778,0,0,0
161439.21,441.11,0.0,0,1,5,0.19211,0,0,0
207406.51,21.27,0.0,0,1,7,0.114635,0,1,1
140284.44,621.15,0.0,0,0,2,0.276623,0,1,0
158216.77,36.57,0.0,2,1,12,0.418286,0,0,1
157095.73,500.59,0.0,0,2,3,0.264328,1,0,0
108249.62,6613.29,0.0,3,2,8,0.508538,1,0,1
209218.35,4946.5,0.0,0,0,13,0.34317,1,0,0
151835.86,4808.23,0.0,0,0,10,0.507652,0,0,0
180749.65,800.76,0.0,2,1,9,0.119846,1,0,0
208844.8,5966.96,0.0,0,0,13,0.211343,1,1,0
206791.87,2298.46,0.0,2,2,2,0.244946,0,0,0
219923.11,89.83,0.0,0,0,14,0.16413,1,1,0
174090.87,524.72,262.88,0,2,8,0.294105,1,0,0
154602.1,2162.57,0.0,0,0,6,0.092957,1,0,0
175216.91,354.43,0.0,0,0,3,0.414502,0,0,0
78759.93,237.2,0.0,0,5,11,0.070612,1,1,1
93173.25,2861.19,0.0,0,2,14,0.794142,0,0,0
100638.02,11.93,0.0,0,2,10,0.339192,0,0,0
120165.19,70.54,0.0,0,3,0,0.442066,0,1,1
